Chromosome	Start	End	GeneID	Gene_type	Strand
MT	577	647	ENSG00000210049	Mt_tRNA	1
MT	648	1601	ENSG00000211459	Mt_rRNA	1
MT	1602	1670	ENSG00000210077	Mt_tRNA	1
MT	1671	3229	ENSG00000210082	Mt_rRNA	1
MT	3230	3304	ENSG00000209082	Mt_tRNA	1
MT	3307	4262	ENSG00000198888	protein_coding	1
MT	4263	4331	ENSG00000210100	Mt_tRNA	1
MT	4329	4400	ENSG00000210107	Mt_tRNA	-1
MT	4402	4469	ENSG00000210112	Mt_tRNA	1
MT	4470	5511	ENSG00000198763	protein_coding	1
MT	5512	5579	ENSG00000210117	Mt_tRNA	1
MT	5587	5655	ENSG00000210127	Mt_tRNA	-1
MT	5657	5729	ENSG00000210135	Mt_tRNA	-1
MT	5761	5826	ENSG00000210140	Mt_tRNA	-1
MT	5826	5891	ENSG00000210144	Mt_tRNA	-1
MT	5904	7445	ENSG00000198804	protein_coding	1
MT	7446	7514	ENSG00000210151	Mt_tRNA	-1
MT	7518	7585	ENSG00000210154	Mt_tRNA	1
MT	7586	8269	ENSG00000198712	protein_coding	1
MT	8295	8364	ENSG00000210156	Mt_tRNA	1
MT	8366	8572	ENSG00000228253	protein_coding	1
MT	8527	9207	ENSG00000198899	protein_coding	1
MT	9207	9990	ENSG00000198938	protein_coding	1
MT	9991	10058	ENSG00000210164	Mt_tRNA	1
MT	10059	10404	ENSG00000198840	protein_coding	1
MT	10405	10469	ENSG00000210174	Mt_tRNA	1
MT	10470	10766	ENSG00000212907	protein_coding	1
MT	10760	12137	ENSG00000198886	protein_coding	1
MT	12138	12206	ENSG00000210176	Mt_tRNA	1
MT	12207	12265	ENSG00000210184	Mt_tRNA	1
MT	12266	12336	ENSG00000210191	Mt_tRNA	1
MT	12337	14148	ENSG00000198786	protein_coding	1
MT	14149	14673	ENSG00000198695	protein_coding	-1
MT	14674	14742	ENSG00000210194	Mt_tRNA	-1
MT	14747	15887	ENSG00000198727	protein_coding	1
MT	15888	15953	ENSG00000210195	Mt_tRNA	1
MT	15956	16023	ENSG00000210196	Mt_tRNA	-1
KI270711.1	4612	29626	ENSG00000271254	protein_coding	-1
KI270744.1	51009	51114	ENSG00000278625	snRNA	-1
KI270442.1	380608	380726	ENSG00000278457	rRNA	1
GL000220.1	105287	105376	ENSG00000276197	misc_RNA	1
GL000195.1	37434	37534	ENSG00000277428	misc_RNA	-1
KI270734.1	59711	60316	ENSG00000278573	pseudogene	1
GL000009.2	56140	58376	ENSG00000278704	protein_coding	-1
GL000219.1	54224	83311	ENSG00000273748	protein_coding	-1
KI270721.1	52895	53010	ENSG00000275661	misc_RNA	1
GL000216.2	93197	93309	ENSG00000274202	snRNA	-1
GL000213.1	108007	139659	ENSG00000277630	protein_coding	-1
GL000194.1	53590	115018	ENSG00000277400	protein_coding	-1
GL000220.1	112025	112177	ENSG00000274917	rRNA	1
KI270442.1	217250	217401	ENSG00000278294	rRNA	-1
GL000195.1	42939	49164	ENSG00000276256	protein_coding	-1
KI270734.1	138082	161852	ENSG00000277196	protein_coding	-1
KI270721.1	52666	52734	ENSG00000276351	misc_RNA	1
GL000194.1	53594	115055	ENSG00000274847	protein_coding	-1
GL000220.1	155997	156149	ENSG00000273730	rRNA	1
GL000220.1	149259	149348	ENSG00000273937	misc_RNA	1
KI270721.1	2585	11802	ENSG00000276345	protein_coding	1
KI270721.1	51722	51792	ENSG00000273532	misc_RNA	1
GL000213.1	127840	127946	ENSG00000278793	snRNA	-1
GL000205.2	93050	93150	ENSG00000276932	misc_RNA	-1
KI270734.1	131494	137392	ENSG00000278817	protein_coding	1
GL000225.1	183252	183364	ENSG00000276711	snRNA	1
KI270734.1	72411	74814	ENSG00000276017	protein_coding	1
KI270731.1	10598	13001	ENSG00000278633	protein_coding	-1
KI270731.1	26533	27138	ENSG00000278066	pseudogene	-1
KI270733.1	167218	167307	ENSG00000276312	misc_RNA	1
KI270733.1	128877	129029	ENSG00000276700	rRNA	1
KI270733.1	173956	174108	ENSG00000275757	rRNA	1
KI270733.1	122136	122225	ENSG00000273739	misc_RNA	1
KI270726.1	41444	41876	ENSG00000275063	protein_coding	1
KI270726.1	26241	26534	ENSG00000277856	protein_coding	1
KI270750.1	148668	148843	ENSG00000277374	snRNA	1
HG1046_PATCH	23142	23609	ENSG00000291360	processed_pseudogene	1
GL000218.1	51867	54893	ENSG00000278384	protein_coding	-1
KI270727.1	20741	22392	ENSG00000278673	pseudogene	-1
KI270713.1	30437	30580	ENSG00000275987	snRNA	-1
KI270727.1	34890	34996	ENSG00000277890	snRNA	1
KI270713.1	35407	35916	ENSG00000268674	protein_coding	1
KI270727.1	372322	373405	ENSG00000275249	protein_coding	1
KI270713.1	31698	32528	ENSG00000277475	protein_coding	-1
KI270713.1	21861	22024	ENSG00000275405	snRNA	-1
KI270727.1	386278	387620	ENSG00000274792	protein_coding	1
KI270727.1	417283	418206	ENSG00000276872	pseudogene	1
KI270727.1	136160	167571	ENSG00000276760	protein_coding	-1
KI270727.1	156089	156195	ENSG00000277927	snRNA	-1
HG1311_HG2539_PATCH	5898	5995	ENSG00000291371	misc_RNA	1
HG1311_HG2539_PATCH	27174	27277	ENSG00000291372	snRNA	-1
HG1311_HG2539_PATCH	74316	81453	ENSG00000291368	protein_coding	1
HG1311_HG2539_PATCH	76713	79634	ENSG00000291369	lncRNA	-1
HG1311_HG2539_PATCH	90790	91549	ENSG00000291370	processed_pseudogene	-1
HG1311_HG2539_PATCH	8917	69331	ENSG00000292254	protein_coding	1
KI270728.1	17234	19833	ENSG00000274175	protein_coding	1
KI270728.1	1139577	1147868	ENSG00000273554	protein_coding	-1
KI270728.1	933862	936467	ENSG00000275869	protein_coding	-1
KI270728.1	1109945	1110235	ENSG00000278510	processed_pseudogene	1
KI270728.1	137798	139135	ENSG00000273843	processed_pseudogene	1
KI270728.1	1270984	1271271	ENSG00000277836	protein_coding	1
HG1369_PATCH	16910	28852	ENSG00000291410	lncRNA	1
HG1369_PATCH	42053	42404	ENSG00000291411	lncRNA	1
HG1369_PATCH	42764	44957	ENSG00000291412	lncRNA	-1
HG1369_PATCH	50247	51782	ENSG00000291413	TEC	-1
HG1369_PATCH	55354	55416	ENSG00000291414	miRNA	-1
HG1369_PATCH	107309	107393	ENSG00000291415	miRNA	-1
